#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
2303,Netflix,San Francisco Bay Area,USA,North America,300.0,2022-06-23,3.0,10000.0,9700.0,Media,Post-IPO,121900,2022,37.22661,-121.97468
2304,Aura,Boston,USA,North America,70.0,2022-06-23,9.0,778.0,708.0,Security,Series F,500,2022,42.35843,-71.05977
2305,Pipl,Spokane,USA,North America,22.0,2022-06-23,13.0,169.0,147.0,Security,Unknown,19,2022,47.65966,-117.42908
2306,Vouch,San Francisco Bay Area,USA,North America,15.0,2022-06-23,7.0,214.0,199.0,Finance,Series C,159,2022,37.77493,-122.41942
2307,Voyage SMS,Los Angeles,USA,North America,8.0,2022-06-23,13.0,62.0,54.0,Marketing,Unknown,10,2022,34.05223,-118.24368
2314,MasterClass,San Francisco Bay Area,USA,North America,120.0,2022-06-22,20.0,600.0,480.0,Education,Series E,461,2022,37.77493,-122.41942
2315,IronNet,Washington DC,USA,North America,90.0,2022-06-22,35.0,257.0,167.0,Security,Post-IPO,410,2022,38.89511,-77.03637
2317,IronNet,Washington DC,USA,North America,55.0,2022-06-22,17.0,324.0,269.0,Security,Post-IPO,410,2022,38.89511,-77.03637
2319,Superpedestrian,Boston,USA,North America,35.0,2022-06-22,7.0,500.0,465.0,Transportation,Series C,261,2022,42.35843,-71.05977
2320,Voi,Stockholm,Sweden,Europe,35.0,2022-06-22,10.0,350.0,315.0,Transportation,Series D,515,2022,59.32938,18.06871
2322,Ritual,Toronto,Canada,North America,23.0,2022-06-22,16.0,144.0,121.0,Food,Series C,134,2022,43.70643,-79.39864
2325,Ebanx,Curitiba,Brazil,South America,340.0,2022-06-21,20.0,1700.0,1360.0,Finance,Series B,460,2022,-25.42778,-49.27306
2327,Community,Los Angeles,USA,North America,40.0,2022-06-21,30.0,133.0,93.0,Marketing,Unknown,40,2022,34.05223,-118.24368
2328,Sourcegraph,San Francisco Bay Area,USA,North America,24.0,2022-06-21,8.0,300.0,276.0,Product,Series D,248,2022,37.77493,-122.41942
2333,SummerBio,San Francisco Bay Area,USA,North America,101.0,2022-06-20,100.0,101.0,0.0,Healthcare,Unknown,7,2022,37.45383,-122.18219
2334,Trax,Singapore,Singapore,Asia,100.0,2022-06-20,12.0,833.0,733.0,Retail,Series E,1000,2022,1.28967,103.85007
2335,Aqgromalin,Chennai,India,Asia,80.0,2022-06-20,30.0,267.0,187.0,Food,Unknown,12,2022,13.08784,80.27847
2336,Bonsai,Toronto,Canada,North America,30.0,2022-06-20,55.0,55.0,25.0,Retail,Series A,27,2022,43.70643,-79.39864
2337,Brighte,Sydney,Australia,Australia,30.0,2022-06-20,15.0,200.0,170.0,Energy,Series C,145,2022,-33.86785,151.20732
2340,CityMall,Gurugram,India,Asia,191.0,2022-06-19,30.0,637.0,446.0,Retail,Series C,112,2022,28.4601,77.02635
2341,BitOasis,Dubai,United Arabian Emirates,Asia,9.0,2022-06-19,5.0,180.0,171.0,Crypto,Series B,30,2022,25.07725,55.30927
2342,Unacademy,Bengaluru,India,Asia,150.0,2022-06-18,3.0,5000.0,4850.0,Education,Series H,838,2022,12.97194,77.59369
2344,Socure,Reno,USA,North America,69.0,2022-06-17,13.0,531.0,462.0,Finance,Series E,646,2022,39.52963,-119.8138
2345,Finite State,Columbus,USA,North America,16.0,2022-06-17,20.0,80.0,64.0,Security,Series B,49,2022,39.96118,-82.99879
2346,JOKR,New York City,USA,North America,50.0,2022-06-16,5.0,1000.0,950.0,Food,Series B,430,2022,40.71427,-74.00597
2347,Zumper,San Francisco Bay Area,USA,North America,45.0,2022-06-16,15.0,300.0,255.0,Real Estate,Series D,178,2022,37.77493,-122.41942
2350,Swappie,Helsinki,Finland,Europe,250.0,2022-06-15,17.0,1471.0,1221.0,Retail,Series C,169,2022,60.16952,24.93545
2351,Wealthsimple,Toronto,Canada,North America,159.0,2022-06-15,13.0,1223.0,1064.0,Finance,Unknown,900,2022,43.70643,-79.39864
2352,Weee!,Fremont,USA,North America,150.0,2022-06-15,10.0,1500.0,1350.0,Food,Series E,863,2022,33.66946,-117.82311
2353,Notarize,Boston,USA,North America,110.0,2022-06-15,25.0,440.0,330.0,Legal,Series D,213,2022,42.35843,-71.05977
2355,Tonkean,San Francisco Bay Area,USA,North America,23.0,2022-06-15,23.0,100.0,77.0,Other,Series B,83,2022,37.77493,-122.41942
2357,OpenWeb,Tel Aviv,Israel,Asia,14.0,2022-06-15,5.0,280.0,266.0,Media,Series E,223,2022,32.08088,34.78057
2358,Swyft,Toronto,Canada,North America,10.0,2022-06-15,30.0,33.0,23.0,Logistics,Series A,20,2022,43.70643,-79.39864
2361,Coinbase,San Francisco Bay Area,USA,North America,1100.0,2022-06-14,18.0,6111.0,5011.0,Crypto,Post-IPO,549,2022,37.77493,-122.41942
2362,Redfin,Seattle,USA,North America,470.0,2022-06-14,8.0,5875.0,5405.0,Real Estate,Post-IPO,319,2022,47.60621,-122.33207
2363,Compass,New York City,USA,North America,450.0,2022-06-14,10.0,4500.0,4050.0,Real Estate,Post-IPO,0,2022,40.71427,-74.00597
2364,Sami,Sao Paulo,Brazil,South America,75.0,2022-06-14,15.0,500.0,425.0,Healthcare,Unknown,36,2022,-23.5475,-46.63611
2365,Breathe,New Delhi,India,Asia,50.0,2022-06-14,33.0,152.0,102.0,Healthcare,Series A,6,2022,28.65195,77.23149
2367,TIFIN,Boulder,USA,North America,24.0,2022-06-14,10.0,240.0,216.0,Crypto,Series D,204,2022,40.01499,-105.27055
2370,BlockFi,New York City,USA,North America,250.0,2022-06-13,20.0,1250.0,1000.0,Crypto,Series E,1000,2022,40.71427,-74.00597
2371,Wave Sports and Entertainment,Los Angeles,USA,North America,56.0,2022-06-13,33.0,170.0,114.0,Media,Series B,65,2022,34.05223,-118.24368
2372,Studio,San Francisco Bay Area,USA,North America,33.0,2022-06-13,40.0,83.0,50.0,Education,Series B,50,2022,37.77493,-122.41942
2375,Crypto.com,Singapore,Singapore,Asia,260.0,2022-06-10,5.0,5200.0,4940.0,Crypto,Unknown,156,2022,1.28967,103.85007
2376,FarEye,New Delhi,India,Asia,250.0,2022-06-10,30.0,833.0,583.0,Logistics,Series E,150,2022,28.65195,77.23149
2377,Berlin Brands Group,Berlin,Germany,Europe,100.0,2022-06-10,10.0,1000.0,900.0,Retail,Unknown,1000,2022,52.52437,13.41053
2378,Sanar,Sao Paulo,Brazil,South America,60.0,2022-06-10,20.0,300.0,240.0,Healthcare,Unknown,11,2022,-23.5475,-46.63611
2379,Freetrade,London,United Kingdom,Europe,45.0,2022-06-10,15.0,300.0,255.0,Finance,Unknown,133,2022,51.50853,-0.12574
2380,Albert,Los Angeles,USA,North America,20.0,2022-06-10,8.0,250.0,230.0,Finance,Series C,175,2022,34.05223,-118.24368
2384,OneTrust,Atlanta,USA,North America,950.0,2022-06-09,25.0,3800.0,2850.0,Security,Series C,926,2022,33.749,-84.38798
2385,Stitch Fix,San Francisco Bay Area,USA,North America,330.0,2022-06-09,15.0,2200.0,1870.0,Retail,Post-IPO,79,2022,37.77493,-122.41942
2387,Convoy,Seattle,USA,North America,90.0,2022-06-09,7.0,1286.0,1196.0,Logistics,Series E,1100,2022,47.60621,-122.33207
2388,Hologram,Chicago,USA,North America,80.0,2022-06-09,40.0,200.0,120.0,Infrastructure,Series B,82,2022,41.85003,-87.65005
2389,Boozt,Malmö,Sweden,Europe,70.0,2022-06-09,5.0,1400.0,1330.0,Retail,Post-IPO,56,2022,55.60587,13.00073
2390,The Grommet,Boston,USA,North America,40.0,2022-06-09,100.0,40.0,0.0,Retail,Acquired,5,2022,42.35843,-71.05977
2391,Stashaway,Singapore,Singapore,Asia,31.0,2022-06-09,14.0,221.0,190.0,Finance,Series D,61,2022,1.28967,103.85007
2392,Preply,Boston,USA,North America,26.0,2022-06-09,5.0,520.0,494.0,Education,Series C,100,2022,42.35843,-71.05977
2396,Sonder,San Francisco Bay Area,USA,North America,250.0,2022-06-08,21.0,1190.0,940.0,Travel,Post-IPO,839,2022,37.77493,-122.41942
2398,Truepill,San Francisco Bay Area,USA,North America,150.0,2022-06-08,15.0,1000.0,850.0,Healthcare,Series D,255,2022,37.66882,-122.0808
2399,iPrice Group,Kuala Lumpur,Malaysia,Asia,50.0,2022-06-08,20.0,250.0,200.0,Retail,Unknown,26,2022,3.1412,101.68653
2401,Cazoo,London,United Kingdom,Europe,750.0,2022-06-07,15.0,5000.0,4250.0,Transportation,Post-IPO,2000,2022,51.50853,-0.12574
2402,Cazoo,London,United Kingdom,Europe,750.0,2022-06-07,15.0,5000.0,4250.0,Transportation,Post-IPO,0,2022,51.50853,-0.12574
2403,Rupeek,Bengaluru,India,Asia,180.0,2022-06-07,15.0,1200.0,1020.0,Finance,Unknown,172,2022,12.97194,77.59369
2405,Bird,Los Angeles,USA,North America,138.0,2022-06-07,23.0,600.0,462.0,Transportation,Post-IPO,783,2022,34.05223,-118.24368
2412,Dutchie,Bend,USA,North America,50.0,2022-06-06,7.0,714.0,664.0,Other,Series D,603,2022,44.05817,-121.31531
2418,Superhuman,San Francisco Bay Area,USA,North America,23.0,2022-06-03,22.0,105.0,82.0,Consumer,Series C,108,2022,37.77493,-122.41942
2419,Food52,New York City,USA,North America,21.0,2022-06-03,15.0,140.0,119.0,Food,Acquired,176,2022,40.71427,-74.00597
2423,Carbon Health,San Francisco Bay Area,USA,North America,250.0,2022-06-02,8.0,3125.0,2875.0,Healthcare,Series D,522,2022,37.77493,-122.41942
2425,PolicyGenius,New York City,USA,North America,170.0,2022-06-02,25.0,680.0,510.0,Finance,Series E,286,2022,40.71427,-74.00597
2426,Yojak,Gurugram,India,Asia,140.0,2022-06-02,50.0,280.0,140.0,Construction,Seed,3,2022,28.4601,77.02635
2428,Gemini,New York City,USA,North America,100.0,2022-06-02,10.0,1000.0,900.0,Crypto,Unknown,423,2022,40.71427,-74.00597
2429,Stord,Atlanta,USA,North America,59.0,2022-06-02,8.0,738.0,679.0,Logistics,Series D,325,2022,33.749,-84.38798
2430,Gather,San Francisco Bay Area,USA,North America,30.0,2022-06-02,33.0,91.0,61.0,Consumer,Series B,76,2022,37.44188,-122.14302
2432,IRL,San Francisco Bay Area,USA,North America,25.0,2022-06-02,25.0,100.0,75.0,Consumer,Series C,197,2022,37.77493,-122.41942
2437,Cybereason,Boston,USA,North America,100.0,2022-06-01,6.0,1667.0,1567.0,Security,Series F,750,2022,42.35843,-71.05977
2438,Udayy,Gurugram,India,Asia,100.0,2022-06-01,100.0,100.0,0.0,Education,Seed,2,2022,28.4601,77.02635
2439,2TM,Sao Paulo,Brazil,South America,90.0,2022-06-01,12.0,750.0,660.0,Crypto,Unknown,250,2022,-23.5475,-46.63611
2440,Curve,London,United Kingdom,Europe,65.0,2022-06-01,10.0,650.0,585.0,Finance,Series C,182,2022,51.50853,-0.12574
2441,Loom,San Francisco Bay Area,USA,North America,34.0,2022-06-01,14.0,243.0,209.0,Product,Series C,203,2022,37.77493,-122.41942
2443,Impala,London,United Kingdom,Europe,30.0,2022-06-01,35.0,86.0,56.0,Travel,Series B,32,2022,51.50853,-0.12574
2449,Tomo,Stamford,USA,North America,44.0,2022-05-31,33.0,133.0,89.0,Finance,Series A,110,2022,41.05343,-73.53873
2451,BookClub,Salt Lake City,USA,North America,12.0,2022-05-31,25.0,48.0,36.0,Education,Series A,26,2022,40.76078,-111.89105
2453,SWVL,Dubai,United Arabian Emirates,Asia,400.0,2022-05-30,32.0,1250.0,850.0,Transportation,Post-IPO,132,2022,25.07725,55.30927
2454,Mobile Premier League,Bengaluru,India,Asia,100.0,2022-05-30,10.0,1000.0,900.0,Consumer,Series E,375,2022,12.97194,77.59369
2455,SumUp,Sao Paulo,Brazil,South America,100.0,2022-05-30,3.0,3333.0,3233.0,Finance,Unknown,50,2022,-23.5475,-46.63611
2457,FrontRow,Bengaluru,India,Asia,145.0,2022-05-27,30.0,483.0,338.0,Education,Series A,17,2022,12.97194,77.59369
2459,Uncapped,London,United Kingdom,Europe,29.0,2022-05-27,26.0,112.0,83.0,Finance,Unknown,118,2022,51.50853,-0.12574
2463,VTEX,Sao Paulo,Brazil,South America,200.0,2022-05-26,13.0,1538.0,1338.0,Retail,Post-IPO,365,2022,-23.5475,-46.63611
2464,Bitso,Mexico City,Mexico,North America,80.0,2022-05-26,11.0,727.0,647.0,Crypto,Series C,378,2022,19.42847,-99.12766
2467,Lacework,San Francisco Bay Area,USA,North America,300.0,2022-05-25,20.0,1500.0,1200.0,Security,Series D,1900,2022,37.38605,-122.08385
2468,Bolt,San Francisco Bay Area,USA,North America,240.0,2022-05-25,27.0,889.0,649.0,Finance,Series E,1300,2022,37.77493,-122.41942
2470,Kontist,Berlin,Germany,Europe,50.0,2022-05-25,25.0,200.0,150.0,Finance,Series B,53,2022,52.52437,13.41053
2471,Nuri,Berlin,Germany,Europe,45.0,2022-05-25,20.0,225.0,180.0,Finance,Series B,42,2022,52.52437,13.41053
2472,Coterie Insurance,Cincinnati,USA,North America,30.0,2022-05-25,20.0,150.0,120.0,Finance,Series B,70,2022,39.12711,-84.51439
2476,Gorillas,Berlin,Germany,Europe,300.0,2022-05-24,50.0,600.0,300.0,Food,Series C,1300,2022,52.52437,13.41053
2479,Klarna,Stockholm,Sweden,Europe,700.0,2022-05-23,10.0,7000.0,6300.0,Finance,Unknown,3700,2022,59.32938,18.06871
2481,Buenbit,Buenos Aires,Argentina,South America,80.0,2022-05-23,45.0,178.0,98.0,Crypto,Series A,11,2022,-34.61315,-58.37723
2482,BeyondMinds,Tel Aviv,Israel,Asia,65.0,2022-05-23,100.0,65.0,0.0,Data,Series A,16,2022,32.08088,34.78057
2483,ClickUp,San Diego,USA,North America,60.0,2022-05-23,7.0,857.0,797.0,Other,Series C,537,2022,32.71571,-117.16472
2484,Airtime,New York City,USA,North America,30.0,2022-05-23,20.0,150.0,120.0,Consumer,Series B,33,2022,40.71427,-74.00597
2486,MFine,Bengaluru,India,Asia,600.0,2022-05-21,75.0,800.0,200.0,Healthcare,Series C,97,2022,12.97194,77.59369
2487,Latch,New York City,USA,North America,130.0,2022-05-20,28.0,464.0,334.0,Security,Post-IPO,342,2022,40.71427,-74.00597
2488,Outside,Boulder,USA,North America,87.0,2022-05-20,15.0,580.0,493.0,Media,Series B,174,2022,40.01499,-105.27055
2489,Skillz,San Francisco Bay Area,USA,North America,70.0,2022-05-20,10.0,700.0,630.0,Consumer,Post-IPO,287,2022,37.77493,-122.41942
2490,Cars24,Gurugram,India,Asia,600.0,2022-05-19,6.0,10000.0,9400.0,Transportation,Series G,1300,2022,28.4601,77.02635
2491,Vedantu,Bengaluru,India,Asia,424.0,2022-05-18,7.0,6057.0,5633.0,Education,Series E,292,2022,12.97194,77.59369
2492,Netflix,San Francisco Bay Area,USA,North America,150.0,2022-05-17,1.0,15000.0,14850.0,Media,Post-IPO,121900,2022,37.22661,-121.97468
2493,Kry,Stockholm,Sweden,Europe,100.0,2022-05-17,10.0,1000.0,900.0,Healthcare,Series D,568,2022,59.32938,18.06871
2494,Picsart,Miami,USA,North America,90.0,2022-05-17,8.0,1125.0,1035.0,Consumer,Series C,195,2022,25.77427,-80.19366
2495,Zak,Sao Paulo,Brazil,South America,100.0,2022-05-16,40.0,250.0,150.0,Food,Series A,29,2022,-23.5475,-46.63611
2497,AliExpress Russia,Moscow,Russia,Europe,400.0,2022-05-14,40.0,1000.0,600.0,Retail,Acquired,60,2022,55.75222,37.61556
2504,DataRobot,Boston,USA,North America,70.0,2022-05-11,7.0,1000.0,930.0,Data,Series G,1000,2022,42.35843,-71.05977
2505,Carvana,Phoenix,USA,North America,2500.0,2022-05-10,12.0,20833.0,18333.0,Transportation,Post-IPO,0,2022,33.44838,-112.07404
2506,Doma,San Francisco Bay Area,USA,North America,310.0,2022-05-10,15.0,2067.0,1757.0,Finance,Post-IPO,679,2022,37.77493,-122.41942
2507,Pollen,London,United Kingdom,Europe,200.0,2022-05-10,33.0,606.0,406.0,Travel,Series C,238,2022,51.50853,-0.12574
2508,Latch,New York City,USA,North America,30.0,2022-05-10,6.0,500.0,470.0,Security,Post-IPO,342,2022,40.71427,-74.00597
2509,Meero,Paris,France,Europe,350.0,2022-05-09,50.0,700.0,350.0,Other,Series C,293,2022,48.85341,2.3488
2510,Vroom,New York City,USA,North America,270.0,2022-05-09,14.0,1929.0,1659.0,Transportation,Post-IPO,0,2022,40.71427,-74.00597
2511,Reef,Miami,USA,North America,750.0,2022-05-06,5.0,15000.0,14250.0,Transportation,Unknown,0,2022,25.77427,-80.19366
2513,Vedantu,Bengaluru,India,Asia,200.0,2022-05-05,3.0,6667.0,6467.0,Education,Series E,292,2022,12.97194,77.59369
2515,Mural,San Francisco Bay Area,USA,North America,90.0,2022-05-05,10.0,900.0,810.0,Product,Series C,192,2022,37.77493,-122.41942
2516,On Deck,San Francisco Bay Area,USA,North America,72.0,2022-05-05,25.0,288.0,216.0,Education,Series A,20,2022,37.77493,-122.41942
2517,SEND,Sydney,Australia,Australia,300.0,2022-05-04,100.0,300.0,0.0,Food,Seed,3,2022,-33.86785,151.20732
2519,Cameo,Chicago,USA,North America,87.0,2022-05-04,25.0,348.0,261.0,Consumer,Unknown,165,2022,41.85003,-87.65005
2520,Mainstreet,San Francisco Bay Area,USA,North America,45.0,2022-05-04,30.0,150.0,105.0,Finance,Series A,64,2022,37.77493,-122.41942
2525,Avo,Tel Aviv,Israel,Asia,500.0,2022-05-01,67.0,746.0,246.0,Food,Series B,45,2022,32.08088,34.78057
2527,Domestika,San Francisco Bay Area,USA,North America,150.0,2022-04-28,19.0,789.0,639.0,Education,Series D,130,2022,37.87159,-122.27275
2530,Robinhood,San Francisco Bay Area,USA,North America,340.0,2022-04-26,9.0,3778.0,3438.0,Finance,Post-IPO,5600,2022,37.45383,-122.18219
2531,Bonsai,Toronto,Canada,North America,29.0,2022-04-26,34.0,85.0,56.0,Retail,Series A,27,2022,43.70643,-79.39864
2534,Xiaohongshu,Shanghai,China,Asia,180.0,2022-04-21,9.0,2000.0,1820.0,Consumer,Series E,917,2022,31.22222,121.45806
2535,Facily,Sao Paulo,Brazil,South America,260.0,2022-04-20,30.0,867.0,607.0,Retail,Series D,502,2022,-23.5475,-46.63611
2537,Blend,San Francisco Bay Area,USA,North America,200.0,2022-04-19,10.0,2000.0,1800.0,Finance,Post-IPO,665,2022,37.77493,-122.41942
2538,QuintoAndar,Sao Paulo,Brazil,South America,160.0,2022-04-19,4.0,4000.0,3840.0,Real Estate,Series E,755,2022,-23.5475,-46.63611
2544,Ahead,San Francisco Bay Area,USA,North America,44.0,2022-04-14,100.0,44.0,0.0,Healthcare,Unknown,9,2022,37.77493,-122.41942
2546,Rad Power Bikes,Seattle,USA,North America,100.0,2022-04-12,14.0,714.0,614.0,Transportation,Series D,329,2022,47.60621,-122.33207
2548,Food52,New York City,USA,North America,20.0,2022-04-08,10.0,200.0,180.0,Food,Acquired,176,2022,40.71427,-74.00597
2549,Unacademy,Bengaluru,India,Asia,1000.0,2022-04-07,17.0,5882.0,4882.0,Education,Series H,838,2022,12.97194,77.59369
2554,Legible,Vancouver,Canada,North America,23.0,2022-04-04,38.0,61.0,38.0,Media,Post-IPO,3,2022,49.24966,-123.11934
2557,Rasa,Berlin,Germany,Europe,59.0,2022-03-30,40.0,148.0,89.0,Data,Series B,40,2022,52.52437,13.41053
2558,Gopuff,Philadelphia,USA,North America,450.0,2022-03-29,3.0,15000.0,14550.0,Food,Series H,3400,2022,39.95238,-75.16362
2559,Thinkific,Vancouver,Canada,North America,100.0,2022-03-29,20.0,500.0,400.0,Education,Post-IPO,22,2022,49.24966,-123.11934
2562,Storytel,Stockholm,Sweden,Europe,100.0,2022-03-17,10.0,1000.0,900.0,Media,Post-IPO,275,2022,59.32938,18.06871
2564,Trell,Bengaluru,India,Asia,300.0,2022-03-15,50.0,600.0,300.0,Retail,Series B,62,2022,12.97194,77.59369
2565,Knock,New York City,USA,North America,115.0,2022-03-15,46.0,250.0,135.0,Real Estate,Unknown,654,2022,40.71427,-74.00597
2568,Better.com,New York City,USA,North America,3000.0,2022-03-08,33.0,9091.0,6091.0,Real Estate,Unknown,905,2022,40.71427,-74.00597
2569,Adaptive Biotechnology,Seattle,USA,North America,100.0,2022-03-08,12.0,833.0,733.0,Healthcare,Post-IPO,406,2022,47.60621,-122.33207
2570,Hyperscience,New York City,USA,North America,100.0,2022-03-03,25.0,400.0,300.0,Data,Series E,289,2022,40.71427,-74.00597
2572,Wish,San Francisco Bay Area,USA,North America,190.0,2022-03-01,15.0,1267.0,1077.0,Retail,Post-IPO,1600,2022,37.77493,-122.41942
2576,Virgin Hyperloop,Los Angeles,USA,North America,111.0,2022-02-21,50.0,222.0,111.0,Transportation,Unknown,368,2022,34.05223,-118.24368
2578,Liv Up,Sao Paulo,Brazil,South America,100.0,2022-02-16,15.0,667.0,567.0,Food,Series D,118,2022,-23.5475,-46.63611
2579,Homie,Salt Lake City,USA,North America,119.0,2022-02-14,29.0,410.0,291.0,Real Estate,Series B,35,2022,40.76078,-111.89105
2580,Hopin,London,United Kingdom,Europe,138.0,2022-02-10,12.0,1150.0,1012.0,Other,Series D,1000,2022,51.50853,-0.12574
2581,Daily Harvest,New York City,USA,North America,60.0,2022-02-10,20.0,300.0,240.0,Food,Series D,120,2022,40.71427,-74.00597
2582,Peloton,New York City,USA,North America,2800.0,2022-02-08,20.0,14000.0,11200.0,Fitness,Post-IPO,0,2022,40.71427,-74.00597
2584,Rhino,New York City,USA,North America,57.0,2022-02-03,20.0,285.0,228.0,Real Estate,Unknown,133,2022,40.71427,-74.00597
2585,Gopuff,Philadelphia,USA,North America,100.0,2022-01-26,0.6622516556291391,15100.0,15000.0,Food,Series H,3400,2022,39.95238,-75.16362
2586,Glossier,New York City,USA,North America,80.0,2022-01-26,33.0,242.0,162.0,Consumer,Series E,266,2022,40.71427,-74.00597
2590,Delivery Hero,Berlin,Germany,Europe,300.0,2021-12-22,6.976744186046512,4300.0,4000.0,Food,Post-IPO,0,2021,52.52437,13.41053
2592,Better.com,New York City,USA,North America,900.0,2021-12-01,9.0,10000.0,9100.0,Real Estate,Unknown,905,2021,40.71427,-74.00597
2593,BitTitan,Seattle,USA,North America,70.0,2021-11-18,27.0,259.0,189.0,Data,Acquired,46,2021,47.60621,-122.33207
2594,Zillow,Seattle,USA,North America,2000.0,2021-11-02,25.0,8000.0,6000.0,Real Estate,Post-IPO,97,2021,47.60621,-122.33207
2600,Treehouse,Portland,USA,North America,41.0,2021-09-14,90.0,46.0,5.0,Education,Series B,12,2021,45.52345,-122.67621
2603,Flockjay,San Francisco Bay Area,USA,North America,37.0,2021-08-24,50.0,74.0,37.0,Education,Series A,14,2021,37.77493,-122.41942
2606,Katerra,San Francisco Bay Area,USA,North America,2434.0,2021-06-01,100.0,2434.0,0.0,Construction,Unknown,1600,2021,37.45383,-122.18219
2611,New Relic,San Francisco Bay Area,USA,North America,160.0,2021-04-06,7.0,2286.0,2126.0,Infrastructure,Post-IPO,215,2021,37.77493,-122.41942
2618,Bounce,Bengaluru,India,Asia,200.0,2021-02-22,40.0,500.0,300.0,Transportation,Series D,214,2021,12.97194,77.59369
2622,Quandoo,Berlin,Germany,Europe,87.0,2021-02-03,20.0,435.0,348.0,Food,Acquired,39,2021,52.52437,13.41053
2623,Hubba,Toronto,Canada,North America,45.0,2021-02-01,100.0,45.0,0.0,Retail,Series B,61,2021,43.70643,-79.39864
2627,Postmates,San Francisco Bay Area,USA,North America,180.0,2021-01-23,15.0,1200.0,1020.0,Food,Acquired,763,2021,37.77493,-122.41942
2629,Pocketmath,Singapore,Singapore,Asia,21.0,2021-01-20,100.0,21.0,0.0,Marketing,Unknown,20,2021,1.28967,103.85007
2630,Dropbox,San Francisco Bay Area,USA,North America,315.0,2021-01-13,15.0,2100.0,1785.0,Other,Post-IPO,1700,2021,37.77493,-122.41942
2635,Breather,Montreal,Canada,North America,120.0,2020-12-16,80.0,150.0,30.0,Real Estate,Series D,131,2020,45.50884,-73.58781
2639,Aya,Toronto,Canada,North America,5.0,2020-11-19,25.0,20.0,15.0,Finance,Seed,3,2020,43.70643,-79.39864
2641,Bridge Connector,Nashville,USA,North America,154.0,2020-11-17,100.0,154.0,0.0,Healthcare,Series B,45,2020,36.16589,-86.78444
2645,Worksmith,Austin,USA,North America,30.0,2020-11-09,50.0,60.0,30.0,Retail,Unknown,4,2020,30.26715,-97.74306
2650,Knotel,New York City,USA,North America,20.0,2020-10-29,8.0,250.0,230.0,Real Estate,Series C,560,2020,40.71427,-74.00597
2655,GetYourGuide,Berlin,Germany,Europe,90.0,2020-10-14,17.0,529.0,439.0,Travel,Series E,656,2020,52.52437,13.41053
2658,Alto Pharmacy,San Francisco Bay Area,USA,North America,47.0,2020-09-29,6.0,783.0,736.0,Healthcare,Series D,356,2020,37.77493,-122.41942
2663,NS8,Las Vegas,USA,North America,240.0,2020-09-11,95.0,253.0,13.0,Data,Series A,158,2020,36.17497,-115.13722
2666,Waze,San Francisco Bay Area,USA,North America,30.0,2020-09-09,5.0,600.0,570.0,Transportation,Acquired,67,2020,37.45383,-122.18219
2672,GoBear,Singapore,Singapore,Asia,22.0,2020-09-01,11.0,200.0,178.0,Finance,Unknown,97,2020,1.28967,103.85007
2673,MakeMyTrip,New Delhi,India,Asia,350.0,2020-08-31,10.0,3500.0,3150.0,Travel,Post-IPO,548,2020,28.65195,77.23149
2674,SaleSan Franciscoorce,San Francisco Bay Area,USA,North America,1000.0,2020-08-26,2.0,50000.0,49000.0,Sales,Post-IPO,65,2020,37.77493,-122.41942
2679,Docly,London,United Kingdom,Europe,8.0,2020-08-19,80.0,10.0,2.0,Healthcare,Seed,16,2020,51.50853,-0.12574
2686,Mozilla,San Francisco Bay Area,USA,North America,250.0,2020-08-11,25.0,1000.0,750.0,Consumer,Unknown,2,2020,37.77493,-122.41942
2687,Eatsy,Singapore,Singapore,Asia,20.0,2020-08-08,100.0,20.0,0.0,Food,Seed,1,2020,1.28967,103.85007
2688,Glossier,New York City,USA,North America,150.0,2020-08-07,38.0,395.0,245.0,Retail,Series D,186,2020,40.71427,-74.00597
2690,Thriver,Toronto,Canada,North America,75.0,2020-08-06,50.0,150.0,75.0,Food,Series B,53,2020,43.70643,-79.39864
2693,Buy.com / Rakuten,San Francisco Bay Area,USA,North America,87.0,2020-07-30,100.0,87.0,0.0,Retail,Acquired,42,2020,37.56299,-122.32553
2696,Procore,Los Angeles,USA,North America,180.0,2020-07-28,9.0,2000.0,1820.0,Construction,Unknown,649,2020,34.05223,-118.24368
2697,Swiggy,Bengaluru,India,Asia,350.0,2020-07-27,5.0,7000.0,6650.0,Food,Series I,1600,2020,12.97194,77.59369
2698,Zeitgold,Berlin,Germany,Europe,75.0,2020-07-27,72.0,104.0,29.0,Finance,Series B,60,2020,52.52437,13.41053
2700,Checkr,San Francisco Bay Area,USA,North America,64.0,2020-07-23,12.0,533.0,469.0,HR,Series D,309,2020,37.77493,-122.41942
2702,LinkedIn,San Francisco Bay Area,USA,North America,960.0,2020-07-21,6.0,16000.0,15040.0,Recruiting,Acquired,154,2020,37.36883,-122.03635
2703,Lighter Capital,Seattle,USA,North America,22.0,2020-07-20,49.0,45.0,23.0,Finance,Series B,15,2020,47.60621,-122.33207
2706,Optimizely,San Francisco Bay Area,USA,North America,60.0,2020-07-15,15.0,400.0,340.0,Marketing,Series D,251,2020,37.77493,-122.41942
2707,Skyscanner,Edinburgh,United Kingdom,Europe,300.0,2020-07-14,20.0,1500.0,1200.0,Travel,Acquired,197,2020,55.95206,-3.19648
